"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"GCF_000775395.1",NA,"SAMN02820981","NCBI","BD","NIH","2014/09/12","Human",2013-01-01,"37.09024","-95.712891",NA,"USA","Americas",NA,2013,1,1
"GCF_000784945.1",NA,"SAMN02803823","NCBI","BD","NIH","2014/09/19","Human",2013-01-01,"37.09024","-95.712891",NA,"USA","Americas",NA,2013,1,1
"GCF_000784985.1",NA,"SAMN02820977","NCBI","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GCF_000785005.1",NA,"SAMN02820980","NCBI","BD","NIH","2014/09/19","Human",2013-01-01,"37.09024","-95.712891",NA,"USA","Americas",NA,2013,1,1
"GCF_000788015.1",NA,"SAMN03076179","NCBI","BD","Miami University","2014/09/23",NA,NA,NA,NA,NA,NA,NA,"PRJNA261239",NA,NA,NA
"GCF_001008725.1",NA,"SAMN03435903","NCBI","BD","New Jersey Medical School-Rutgers University","2015/05/19","Human",2008-01-01,"28.5383832","-81.3789269"," Orlando","USA","Americas",NA,2008,1,1
"GCF_001055015.1",NA,"SAMN03197574","NCBI","BD","University of Washington","2015/07/11","Human",NA,"47.7510741","-120.7401386"," WA","USA","Americas",NA,NA,NA,NA
"GCF_001056275.1",NA,"SAMN03197485","NCBI","BD","University of Washington","2015/07/11","Human",NA,"47.7510741","-120.7401386"," WA","USA","Americas",NA,NA,NA,NA
"GCF_001058365.1",NA,"SAMN03197968","NCBI","BD","University of Washington","2015/07/11","Human",NA,"47.7510741","-120.7401386"," WA","USA","Americas",NA,NA,NA,NA
"GCF_001061805.1",NA,"SAMN03197017","NCBI","BD","University of Washington","2015/07/11","Human",NA,"47.7510741","-120.7401386"," WA","USA","Americas",NA,NA,NA,NA
"GCF_001076675.1",NA,"SAMN03197492","NCBI","BD","University of Washington","2015/07/11","Human",NA,"47.7510741","-120.7401386"," WA","USA","Americas",NA,NA,NA,NA
"GCF_001316495.2",NA,"SAMN04011419","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316565.3",NA,"SAMN04011426","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316645.2",NA,"SAMN04011433","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-07-03,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,7,3
"GCF_001316695.2",NA,"SAMN04011436","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-06-25,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,6,25
"GCF_001316745.2",NA,"SAMN04011438","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-07-19,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,7,19
"GCF_001316765.2",NA,"SAMN04011441","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2012-12-12,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2012,12,12
"GCF_001316785.2",NA,"SAMN04011420","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316845.2",NA,"SAMN04011425","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316865.2",NA,"SAMN04011430","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316895.2",NA,"SAMN04011434","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001316925.2",NA,"SAMN04011440","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2012-12-23,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2012,12,23
"GCF_001316945.3",NA,"SAMN04011439","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
